Image #, x, y 
34,6421.998000000001,-956.0620000000002 
35,6720.625500000002,-756.8975000000003 
36,6720.625500000002,-955.8665000000003 
37,6579.195500000002,-756.8975000000003 
38,6578.9715000000015,-956.9845000000003 
39,6424.655500000001,-756.8975000000003 
40,6286.639500000001,-956.9845000000003 
41,14068.820000000003,91.80200000000002 
42,11715.018000000004,-4112.344500000001 
43,10628.626000000002,-4114.201500000001 
44,6811.520000000001,497.24400000000014 
45,6611.520000000001,497.24400000000014 
46,6411.520000000001,497.24400000000014 
47,6311.520000000001,497.24400000000014 
48,6776.060000000001,532.565 
49,14231.500000000004,4322.225000000001 
50,14225.200000000003,4322.225000000001 
51,5971.500000000002,-4187.775000000001 
52,5965.200000000002,-4187.775000000001 
53,5751.500000000002,4342.225000000001 
54,5745.200000000002,4342.225000000001 
55,12144.848000000004,-4356.049000000001 
56,13836.028000000004,-4105.235000000001 
57,8747.015000000001,1242.8000000000002 
58,8748.490000000002,1660.8100000000004 
59,8747.040000000003,405.2800000000001 
60,8747.035000000002,823.2800000000002 
